District,Name,lat,lon,soil_id,,
Buldana,BUL08,20.23207,76.25386,,,8
Buldana,BUL09,20.27789,76.39335,,,9
Buldana,BUL10,20.21114,76.52093,,,10
Buldana,BUL11,20.13781,76.57926,,,11
Buldana,BUL12,20.09745,76.5256,,,12
Buldana,BUL13,19.97485,76.4843,,,13
Buldana,BUL14,19.99754,76.57103,,,14
Buldana,BUL15,20.18975,76.56424,,,15
Buldana,BUL16,20.54147,76.65527,,,16
Buldana,BUL17,20.67183,76.676,,,17
Buldana,BUL18,20.8881,76.67583,,,18
Buldana,BUL19,21.02499,76.70166,,,19
Buldana,BUL20,21.02544,76.5117,,,20
Buldana,BUL21,20.86259,76.46749,,,21
Buldana,BUL22,20.43248,76.45642,,,22
Buldana,BUL23,21.01093,76.71068,,,23
Buldana,BUL24,20.31045,76.19204,,,24
Buldana,BUL25,19.95458,76.13123,,,25
Buldana,BUL26,20.49366,76.20093,,,26
Buldana,BUL27,20.03586,76.52212,,,27
Buldana,BUL28,20.4067,76.66272,,,28
Buldana,BUL29,20.70245,76.69659,,,29
Buldana,BUL30,20.98123,76.70125,,,30
Bijapur,BIJ01,16.854495,75.740824,,,1
Bijapur,BIJ02,16.920208,75.828887,,,2
Bijapur,BIJ03,17.057691,75.931205,,,3
Bijapur,BIJ04,17.13199,75.960776,,,4
Bijapur,BIJ05,17.117472,76.102381,,,5
Bijapur,BIJ06,17.043774,76.221787,,,6
Bijapur,BIJ07,16.875802,76.18827,,,7
Bijapur,BIJ08,16.787127,76.067888,,,8
Bijapur,BIJ09,16.695032,76.054817,,,9
Bijapur,BIJ10,16.612346,75.994155,,,10
Bijapur,BIJ11,16.55943,76.048638,,,11
Bijapur,BIJ12,16.455458,76.111496,,,12
Bijapur,BIJ13,16.338975,76.076899,,,13
Bijapur,BIJ14,16.390023,75.955428,,,14
Bijapur,BIJ15,16.484156,75.885386,,,15
Bijapur,BIJ16,16.613513,75.826886,,,16
Bijapur,BIJ17,16.749911,75.729215,,,17
Bijapur,BIJ18,16.650659,75.731624,,,18
Bijapur,BIJ19,16.56406,75.717065,,,19
Bijapur,BIJ20,16.415507,75.862361,,,20
Bijapur,BIJ21,16.359601,75.980758,,,21
Bijapur,BIJ22,16.356007,76.15949,,,22
Bijapur,BIJ23,16.425125,76.259902,,,23
Bijapur,BIJ24,16.506461,76.302602,,,24
Bijapur,BIJ25,16.565692,76.290774,,,25
Bijapur,BIJ26,16.680075,76.207183,,,26
Bijapur,BIJ27,16.734519,76.130707,,,27
Bijapur,BIJ28,16.814549,75.957242,,,28
Bijapur,BIJ29,16.789162,75.825919,,,29
Bijapur,BIJ30,16.714933,75.773126,,,30
Solapur,SOL01,18.0558,75.1946,,,1
Solapur,SOL02,17.8657,74.9236,,,2
Solapur,SOL03,17.9201,74.7965,,,3
Solapur,SOL04,17.8527,74.9256,,,4
Solapur,SOL05,17.7245,75.0405,,,5
Solapur,SOL06,17.5617,75.1367,,,6
Solapur,SOL07,17.4207,75.2430,,,7
Solapur,SOL08,17.3402,75.2316,,,8
Solapur,SOL09,17.3910,75.1973,,,9
Solapur,SOL10,17.4752,75.3575,,,10
Solapur,SOL11,17.4771,75.4816,,,11
Solapur,SOL12,17.6462,75.3923,,,12
Solapur,SOL13,18.1109,75.1964,,,13
Solapur,SOL14,18.1884,75.3019,,,14
Solapur,SOL15,18.2031,75.3756,,,15
Solapur,SOL16,18.1193,75.4974,,,16
Solapur,SOL17,18.1964,75.6443,,,17
Solapur,SOL18,18.1668,75.7266,,,18
Solapur,SOL19,18.0519,75.8062,,,19
Solapur,SOL20,17.8424,75.8471,,,20
Solapur,SOL21,17.6018,75.8992,,,21
Solapur,SOL22,17.5818,75.9807,,,22
Solapur,SOL23,17.5575,76.0717,,,23
Solapur,SOL24,17.6211,76.1829,,,24
Solapur,SOL25,17.6782,76.2671,,,25
Solapur,SOL26,17.5476,76.2296,,,26
Solapur,SOL27,17.6448,76.0856,,,27
Solapur,SOL28,17.7505,76.0683,,,28
Solapur,SOL29,18.3216,75.1443,,,29
Solapur,SOL30,17.6448,76.0856,,,30
Vishisha,VIS01,23.56242,77.90851,,,1
Vishisha,VIS02,23.60956,77.90312,,,2
Vishisha,VIS03,23.64465,77.90593,,,3
Vishisha,VIS04,23.65994,77.90898,,,4
Vishisha,VIS05,23.63360,77.79685,,,5
Vishisha,VIS06,23.76079,77.91600,,,6
Vishisha,VIS07,23.55768,77.90457,,,7
Vishisha,VIS08,23.56159,77.90668,,,8
Vishisha,VIS09,23.56603,77.90805,,,9
Vishisha,VIS10,23.56830,77.90730,,,10
Vishisha,VIS11,23.60956,77.90312,,,11
Vishisha,VIS12,23.89490,77.97943,,,12
Vishisha,VIS13,23.93021,78.08990,,,13
Vishisha,VIS14,23.93497,78.09419,,,14
Vishisha,VIS15,23.93569,78.09873,,,15
Vishisha,VIS16,23.94236,78.11317,,,16
Vishisha,VIS17,23.84104,77.84055,,,17
Vishisha,VIS18,23.83232,77.83002,,,18
Vishisha,VIS19,23.81649,77.82012,,,19
Vishisha,VIS20,23.76661,77.80137,,,20
Vishisha,VIS21,23.56919,77.78704,,,21
Vishisha,VIS22,23.54568,77.86803,,,22
Vishisha,VIS23,23.56626,77.90810,,,23
Vishisha,VIS24,23.56990,77.90907,,,24
Vishisha,VIS25,23.59437,77.90547,,,25
Vishisha,VIS26,23.63837,77.90669,,,26
Vishisha,VIS27,23.70146,77.91015,,,27
Vishisha,VIS28,23.73707,77.90155,,,28
Vishisha,VIS29,23.75353,77.91196,,,29
Vishisha,VIS30,23.77204,77.91711,,,30
,,,,,,1
,,,,,,2
,,,,,,3
,,,,,,4
,,,,,,5
,,,,,,6
,,,,,,7
,,,,,,8
,,,,,,9
,,,,,,10
,,,,,,11
,,,,,,12
,,,,,,13
,,,,,,14
,,,,,,15
,,,,,,16
,,,,,,17
,,,,,,18
,,,,,,19
,,,,,,20
,,,,,,21
,,,,,,22
,,,,,,23
,,,,,,24
,,,,,,25
,,,,,,26
,,,,,,27
,,,,,,28
,,,,,,29
,,,,,,30
,,,,,,1
,,,,,,2
,,,,,,3
,,,,,,4
,,,,,,5
,,,,,,6
,,,,,,7
,,,,,,8
,,,,,,9
,,,,,,10
,,,,,,11
,,,,,,12
,,,,,,13
,,,,,,14
,,,,,,15
,,,,,,16
,,,,,,17
,,,,,,18
,,,,,,19
,,,,,,20
,,,,,,21
,,,,,,22
,,,,,,23
,,,,,,24
,,,,,,25
,,,,,,26
,,,,,,27
,,,,,,28
,,,,,,29
,,,,,,30
,,,,,,1
,,,,,,2
,,,,,,3
,,,,,,4
,,,,,,5
,,,,,,6
,,,,,,7
,,,,,,8
,,,,,,9
,,,,,,10
,,,,,,11
,,,,,,12
,,,,,,13
,,,,,,14
,,,,,,15
,,,,,,16
,,,,,,17
,,,,,,18
,,,,,,19
,,,,,,20
,,,,,,21
,,,,,,22
,,,,,,23
,,,,,,24
,,,,,,25
,,,,,,26
,,,,,,27
,,,,,,28
,,,,,,29
,,,,,,30
